,Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,afterSplit
0,1980-12-12,0.128348,0.128906,0.128348,0.128348,0.099874,469033600,0.000536,1.0,0.128348
1,1980-12-15,0.12221,0.12221,0.121652,0.121652,0.094663,175884800,0.000536,1.0,0.121652
2,1980-12-16,0.113281,0.113281,0.112723,0.112723,0.087715,105728000,0.000536,1.0,0.112723
3,1980-12-17,0.115513,0.116071,0.115513,0.115513,0.089886,86441600,0.000536,1.0,0.115513
4,1980-12-18,0.118862,0.11942,0.118862,0.118862,0.092492,73449600,0.000536,1.0,0.118862
5,1980-12-19,0.126116,0.126674,0.126116,0.126116,0.098137,48630400,0.000536,1.0,0.126116
6,1980-12-22,0.132254,0.132813,0.132254,0.132254,0.102913,37363200,0.000536,1.0,0.132254
7,1980-12-23,0.137835,0.138393,0.137835,0.137835,0.107256,46950400,0.000536,1.0,0.137835
8,1980-12-24,0.145089,0.145647,0.145089,0.145089,0.112901,48003200,0.000536,1.0,0.145089
9,1980-12-26,0.158482,0.15904,0.158482,0.158482,0.123323,55574400,0.000536,1.0,0.158482
10,1980-12-29,0.160714,0.161272,0.160714,0.160714,0.125059,93161600,0.000536,1.0,0.160714
11,1980-12-30,0.157366,0.157366,0.156808,0.156808,0.12202,68880000,0.000536,1.0,0.156808
12,1980-12-31,0.152902,0.152902,0.152344,0.152344,0.118546,35750400,0.000536,1.0,0.152344
13,1981-01-02,0.154018,0.155134,0.154018,0.154018,0.119849,21660800,0.000536,1.0,0.154018
14,1981-01-05,0.151228,0.151228,0.15067,0.15067,0.117244,35728000,0.000536,1.0,0.15067
15,1981-01-06,0.144531,0.144531,0.143973,0.143973,0.112032,45158400,0.000536,1.0,0.143973
16,1981-01-07,0.138393,0.138393,0.137835,0.137835,0.107256,55686400,0.000536,1.0,0.137835
17,1981-01-08,0.135603,0.135603,0.135045,0.135045,0.105085,39827200,0.000536,1.0,0.135045
18,1981-01-09,0.142299,0.142857,0.142299,0.142299,0.11073,21504000,0.000536,1.0,0.142299
19,1981-01-12,0.142299,0.142299,0.141183,0.141183,0.109861,23699200,0.000536,1.0,0.141183
20,1981-01-13,0.136719,0.136719,0.136161,0.136161,0.105954,23049600,0.000536,1.0,0.136161
21,1981-01-14,0.136719,0.137277,0.136719,0.136719,0.106388,14291200,0.000536,1.0,0.136719
22,1981-01-15,0.139509,0.140625,0.139509,0.139509,0.108559,14067200,0.000536,1.0,0.139509
23,1981-01-16,0.138951,0.138951,0.138393,0.138393,0.10769,13395200,0.000536,1.0,0.138393
24,1981-01-19,0.146763,0.147321,0.146763,0.146763,0.114203,41574400,0.000536,1.0,0.146763
25,1981-01-20,0.142857,0.142857,0.142299,0.142299,0.11073,30083200,0.000536,1.0,0.142299
26,1981-01-21,0.145089,0.146205,0.145089,0.145089,0.112901,15904000,0.000536,1.0,0.145089
27,1981-01-22,0.146763,0.147879,0.146763,0.146763,0.114203,35548800,0.000536,1.0,0.146763
28,1981-01-23,0.146763,0.147321,0.146205,0.146205,0.113769,11222400,0.000536,1.0,0.146205
29,1981-01-26,0.144531,0.144531,0.143973,0.143973,0.112032,24640000,0.000536,1.0,0.143973
30,1981-01-27,0.143973,0.143973,0.142857,0.142857,0.111164,23699200,0.000536,1.0,0.142857
31,1981-01-28,0.138951,0.138951,0.138393,0.138393,0.10769,28156800,0.000536,1.0,0.138393
32,1981-01-29,0.133929,0.133929,0.133371,0.133371,0.103782,43904000,0.000536,1.0,0.133371
33,1981-01-30,0.127232,0.127232,0.126116,0.126116,0.098137,46188800,0.000536,1.0,0.126116
34,1981-02-02,0.11942,0.11942,0.118862,0.118862,0.092492,23766400,0.000536,1.0,0.118862
35,1981-02-03,0.123326,0.123884,0.123326,0.123326,0.095966,19152000,0.000536,1.0,0.123326
36,1981-02-04,0.12779,0.128348,0.12779,0.12779,0.09944,27865600,0.000536,1.0,0.12779
37,1981-02-05,0.12779,0.128906,0.12779,0.12779,0.09944,7929600,0.000536,1.0,0.12779
38,1981-02-06,0.128348,0.128906,0.128348,0.128348,0.099874,13865600,0.000536,1.0,0.128348
39,1981-02-09,0.122768,0.122768,0.121652,0.121652,0.094663,16755200,0.000536,1.0,0.121652
40,1981-02-10,0.121652,0.12221,0.121652,0.121652,0.094663,18345600,0.000536,1.0,0.121652
41,1981-02-11,0.118304,0.118304,0.117746,0.117746,0.091624,13843200,0.000536,1.0,0.117746
42,1981-02-12,0.117188,0.117188,0.116629,0.116629,0.090755,14560000,0.000536,1.0,0.116629
43,1981-02-13,0.114955,0.114955,0.113839,0.113839,0.088584,11155200,0.000536,1.0,0.113839
44,1981-02-17,0.116629,0.117188,0.116629,0.116629,0.090755,12275200,0.000536,1.0,0.116629
45,1981-02-18,0.121652,0.122768,0.121652,0.121652,0.094663,19241600,0.000536,1.0,0.121652
46,1981-02-19,0.114955,0.114955,0.114397,0.114397,0.089018,22310400,0.000536,1.0,0.114397
47,1981-02-20,0.108817,0.108817,0.108259,0.108259,0.084242,24371200,0.000536,1.0,0.108259
48,1981-02-23,0.109933,0.110491,0.109933,0.109933,0.085544,14112000,0.000536,1.0,0.109933
49,1981-02-24,0.107143,0.107143,0.106027,0.106027,0.082505,16979200,0.000536,1.0,0.106027
50,1981-02-25,0.112723,0.113281,0.112723,0.112723,0.087715,19488000,0.000536,1.0,0.112723
51,1981-02-26,0.114397,0.114955,0.114397,0.114397,0.089018,10841600,0.000536,1.0,0.114397
52,1981-02-27,0.118304,0.11942,0.118304,0.118304,0.092058,14761600,0.000536,1.0,0.118304
53,1981-03-02,0.118862,0.11942,0.118862,0.118862,0.092492,11760000,0.000536,1.0,0.118862
54,1981-03-03,0.117746,0.117746,0.117188,0.117188,0.09119,16172800,0.000536,1.0,0.117188
55,1981-03-04,0.116629,0.116629,0.116071,0.116071,0.09032,13708800,0.000536,1.0,0.116071
56,1981-03-05,0.116071,0.116071,0.115513,0.115513,0.089886,5376000,0.000536,1.0,0.115513
57,1981-03-06,0.115513,0.115513,0.114397,0.114397,0.089018,11603200,0.000536,1.0,0.114397
58,1981-03-09,0.106027,0.106027,0.105469,0.105469,0.082071,15321600,0.000536,1.0,0.105469
59,1981-03-10,0.101004,0.101004,0.100446,0.100446,0.078162,28380800,0.000536,1.0,0.100446
60,1981-03-11,0.097656,0.097656,0.09654,0.09654,0.075122,29859200,0.000536,1.0,0.09654
61,1981-03-12,0.100446,0.101004,0.100446,0.100446,0.078162,59248000,0.000536,1.0,0.100446
62,1981-03-13,0.099888,0.099888,0.09933,0.09933,0.077294,231302400,0.000536,1.0,0.09933
63,1981-03-16,0.103237,0.104353,0.103237,0.103237,0.080334,37228800,0.000536,1.0,0.103237
64,1981-03-17,0.108259,0.109375,0.108259,0.108259,0.084242,43747200,0.000536,1.0,0.108259
65,1981-03-18,0.114955,0.116071,0.114955,0.114955,0.089452,36937600,0.000536,1.0,0.114955
66,1981-03-19,0.114397,0.114397,0.113839,0.113839,0.088584,37811200,0.000536,1.0,0.113839
67,1981-03-20,0.114955,0.116071,0.114955,0.114955,0.089452,14604800,0.000536,1.0,0.114955
68,1981-03-23,0.11942,0.120536,0.11942,0.11942,0.092926,22019200,0.000536,1.0,0.11942
69,1981-03-24,0.11942,0.11942,0.118862,0.118862,0.092492,28156800,0.000536,1.0,0.118862
70,1981-03-25,0.117746,0.117746,0.116629,0.116629,0.090755,7056000,0.000536,1.0,0.116629
71,1981-03-26,0.114955,0.114955,0.114397,0.114397,0.089018,12275200,0.000536,1.0,0.114397
72,1981-03-27,0.111049,0.111049,0.110491,0.110491,0.085978,12252800,0.000536,1.0,0.110491
73,1981-03-30,0.110491,0.111607,0.110491,0.110491,0.085978,9900800,0.000536,1.0,0.110491
74,1981-03-31,0.110491,0.110491,0.109375,0.109375,0.08511,15993600,0.000536,1.0,0.109375
75,1981-04-01,0.108817,0.108817,0.108259,0.108259,0.084242,34070400,0.000536,1.0,0.108259
76,1981-04-02,0.117746,0.118304,0.117746,0.117746,0.091624,31404800,0.000536,1.0,0.117746
77,1981-04-03,0.118304,0.118862,0.118304,0.118304,0.092058,16486400,0.000536,1.0,0.118304
78,1981-04-06,0.116629,0.116629,0.116071,0.116071,0.09032,22803200,0.000536,1.0,0.116071
79,1981-04-07,0.115513,0.115513,0.114955,0.114955,0.089452,10684800,0.000536,1.0,0.114955
80,1981-04-08,0.120536,0.121652,0.120536,0.120536,0.093795,21952000,0.000536,1.0,0.120536
81,1981-04-09,0.122768,0.123326,0.122768,0.122768,0.095532,12499200,0.000536,1.0,0.122768
82,1981-04-10,0.124442,0.125,0.124442,0.124442,0.096834,33465600,0.000536,1.0,0.124442
83,1981-04-13,0.124442,0.125,0.124442,0.124442,0.096834,16060800,0.000536,1.0,0.124442
84,1981-04-14,0.124442,0.125,0.124442,0.124442,0.096834,6652800,0.000536,1.0,0.124442
85,1981-04-15,0.118862,0.118862,0.118304,0.118304,0.092058,34048000,0.000536,1.0,0.118304
86,1981-04-16,0.112165,0.112165,0.111607,0.111607,0.086847,23878400,0.000536,1.0,0.111607
87,1981-04-20,0.114955,0.115513,0.114955,0.114955,0.089452,35347200,0.000536,1.0,0.114955
88,1981-04-21,0.122768,0.123326,0.122768,0.122768,0.095532,28537600,0.000536,1.0,0.122768
89,1981-04-22,0.127232,0.12779,0.127232,0.127232,0.099005,18995200,0.000536,1.0,0.127232
90,1981-04-23,0.13058,0.131138,0.13058,0.13058,0.101611,58016000,0.000536,1.0,0.13058
91,1981-04-24,0.13058,0.13058,0.129464,0.129464,0.100742,35056000,0.000536,1.0,0.129464
92,1981-04-27,0.128906,0.128906,0.128348,0.128348,0.099874,38528000,0.000536,1.0,0.128348
93,1981-04-28,0.126674,0.126674,0.126116,0.126116,0.098137,32188800,0.000536,1.0,0.126116
94,1981-04-29,0.125,0.125,0.124442,0.124442,0.096834,13641600,0.000536,1.0,0.124442
95,1981-04-30,0.126674,0.12779,0.126674,0.126674,0.098571,12611200,0.000536,1.0,0.126674
96,1981-05-01,0.126674,0.12779,0.126674,0.126674,0.098571,16553600,0.000536,1.0,0.126674
97,1981-05-04,0.126674,0.126674,0.126116,0.126116,0.098137,14448000,0.000536,1.0,0.126116
98,1981-05-05,0.126116,0.126116,0.125558,0.125558,0.097703,17539200,0.000536,1.0,0.125558
99,1981-05-06,0.122768,0.122768,0.12221,0.12221,0.095098,18950400,0.000536,1.0,0.12221
100,1981-05-07,0.123884,0.124442,0.123884,0.123884,0.0964,9363200,0.000536,1.0,0.123884
101,1981-05-08,0.125,0.125558,0.125,0.125,0.097269,7907200,0.000536,1.0,0.125
102,1981-05-11,0.122768,0.122768,0.12221,0.12221,0.095098,11939200,0.000536,1.0,0.12221
103,1981-05-12,0.12221,0.123884,0.12221,0.12221,0.095098,4256000,0.000536,1.0,0.12221
104,1981-05-13,0.12221,0.123326,0.121652,0.121652,0.094663,4905600,0.000536,1.0,0.121652
105,1981-05-14,0.121094,0.121094,0.119978,0.119978,0.093361,4928000,0.000536,1.0,0.119978
106,1981-05-15,0.122768,0.124442,0.122768,0.122768,0.095532,4905600,0.000536,1.0,0.122768
107,1981-05-18,0.125,0.126116,0.125,0.125,0.097269,4166400,0.000536,1.0,0.125
108,1981-05-19,0.123326,0.123326,0.122768,0.122768,0.095532,25424000,0.000536,1.0,0.122768
109,1981-05-20,0.126674,0.12779,0.126674,0.126674,0.098571,13283200,0.000536,1.0,0.126674
110,1981-05-21,0.133929,0.134487,0.133929,0.133929,0.104217,32211200,0.000536,1.0,0.133929
111,1981-05-22,0.140067,0.141183,0.140067,0.140067,0.108993,31427200,0.000536,1.0,0.140067
112,1981-05-26,0.140067,0.140067,0.139509,0.139509,0.108559,85344000,0.000536,1.0,0.139509
113,1981-05-27,0.147321,0.147879,0.147321,0.147321,0.114638,149497600,0.000536,1.0,0.147321
114,1981-05-28,0.147321,0.147879,0.147321,0.147321,0.114638,73987200,0.000536,1.0,0.147321
115,1981-05-29,0.147879,0.148438,0.147879,0.147879,0.115072,59382400,0.000536,1.0,0.147879
116,1981-06-01,0.147879,0.148438,0.147879,0.147879,0.115072,51251200,0.000536,1.0,0.147879
117,1981-06-02,0.141183,0.141183,0.140625,0.140625,0.109427,40432000,0.000536,1.0,0.140625
118,1981-06-03,0.140625,0.141741,0.140625,0.140625,0.109427,39446400,0.000536,1.0,0.140625
119,1981-06-04,0.143415,0.143973,0.143415,0.143415,0.111598,56067200,0.000536,1.0,0.143415
120,1981-06-05,0.141741,0.141741,0.141183,0.141183,0.109861,57680000,0.000536,1.0,0.141183
121,1981-06-08,0.136719,0.136719,0.136161,0.136161,0.105954,93497600,0.000536,1.0,0.136161
122,1981-06-09,0.138951,0.139509,0.138951,0.138951,0.108125,119593600,0.000536,1.0,0.138951
123,1981-06-10,0.140625,0.142299,0.140625,0.140625,0.109427,25222400,0.000536,1.0,0.140625
124,1981-06-11,0.146763,0.147321,0.146763,0.146763,0.114203,38976000,0.000536,1.0,0.146763
125,1981-06-12,0.145647,0.145647,0.145089,0.145089,0.112901,25804800,0.000536,1.0,0.145089
126,1981-06-15,0.145089,0.145089,0.144531,0.144531,0.112467,143763200,0.000536,1.0,0.144531
127,1981-06-16,0.142299,0.142299,0.141741,0.141741,0.110296,37251200,0.000536,1.0,0.141741
128,1981-06-17,0.140067,0.140067,0.139509,0.139509,0.108559,27574400,0.000536,1.0,0.139509
129,1981-06-18,0.139509,0.140067,0.138951,0.138951,0.108125,23049600,0.000536,1.0,0.138951
130,1981-06-19,0.135603,0.135603,0.135045,0.135045,0.105085,27507200,0.000536,1.0,0.135045
131,1981-06-22,0.13058,0.13058,0.130022,0.130022,0.101176,10841600,0.000536,1.0,0.130022
132,1981-06-23,0.132254,0.133371,0.132254,0.132254,0.102913,15030400,0.000536,1.0,0.132254
133,1981-06-24,0.130022,0.130022,0.128906,0.128906,0.100308,23027200,0.000536,1.0,0.128906
134,1981-06-25,0.131696,0.132254,0.131696,0.131696,0.102479,24259200,0.000536,1.0,0.131696
135,1981-06-26,0.131138,0.131138,0.130022,0.130022,0.101176,23788800,0.000536,1.0,0.130022
136,1981-06-29,0.126674,0.126674,0.125558,0.125558,0.097703,10595200,0.000536,1.0,0.125558
137,1981-06-30,0.116629,0.116629,0.116071,0.116071,0.09032,35907200,0.000536,1.0,0.116071
138,1981-07-01,0.115513,0.115513,0.114955,0.114955,0.089452,170464000,0.000536,1.0,0.114955
139,1981-07-02,0.114955,0.115513,0.114955,0.114955,0.089452,30284800,0.000536,1.0,0.114955
140,1981-07-06,0.112165,0.112165,0.111049,0.111049,0.086413,16531200,0.000536,1.0,0.111049
141,1981-07-07,0.112165,0.113281,0.112165,0.112165,0.087281,15836800,0.000536,1.0,0.112165
142,1981-07-08,0.116629,0.117188,0.116629,0.116629,0.090755,16620800,0.000536,1.0,0.116629
143,1981-07-09,0.108259,0.108259,0.107701,0.107701,0.083807,32883200,0.000536,1.0,0.107701
144,1981-07-10,0.099888,0.099888,0.09933,0.09933,0.077294,55171200,0.000536,1.0,0.09933
145,1981-07-13,0.101563,0.102121,0.101563,0.101563,0.079031,45740800,0.000536,1.0,0.101563
146,1981-07-14,0.106027,0.107143,0.106027,0.106027,0.082505,19779200,0.000536,1.0,0.106027
147,1981-07-15,0.108817,0.109375,0.108817,0.108817,0.084676,10953600,0.000536,1.0,0.108817
148,1981-07-16,0.111607,0.112723,0.111607,0.111607,0.086847,15232000,0.000536,1.0,0.111607
149,1981-07-17,0.115513,0.116071,0.115513,0.115513,0.089886,19824000,0.000536,1.0,0.115513
150,1981-07-20,0.108259,0.108259,0.107701,0.107701,0.083807,23654400,0.000536,1.0,0.107701
151,1981-07-21,0.107701,0.107701,0.107143,0.107143,0.083373,31942400,0.000536,1.0,0.107143
152,1981-07-22,0.102121,0.102121,0.101004,0.101004,0.078596,22668800,0.000536,1.0,0.101004
153,1981-07-23,0.103795,0.104353,0.103795,0.103795,0.080768,34451200,0.000536,1.0,0.103795
154,1981-07-24,0.107143,0.107701,0.107143,0.107143,0.083373,28851200,0.000536,1.0,0.107143
155,1981-07-27,0.111607,0.112165,0.111607,0.111607,0.086847,17337600,0.000536,1.0,0.111607
156,1981-07-28,0.108259,0.108259,0.107701,0.107701,0.083807,22848000,0.000536,1.0,0.107701
157,1981-07-29,0.106585,0.106585,0.106027,0.106027,0.082505,15500800,0.000536,1.0,0.106027
158,1981-07-30,0.109933,0.111049,0.109933,0.109933,0.085544,9900800,0.000536,1.0,0.109933
159,1981-07-31,0.111607,0.112165,0.111607,0.111607,0.086847,10953600,0.000536,1.0,0.111607
160,1981-08-03,0.111607,0.111607,0.110491,0.110491,0.085978,12432000,0.000536,1.0,0.110491
161,1981-08-04,0.112165,0.112723,0.112165,0.112165,0.087281,31673600,0.000536,1.0,0.112165
162,1981-08-05,0.115513,0.116071,0.115513,0.115513,0.089886,17494400,0.000536,1.0,0.115513
163,1981-08-06,0.113281,0.113281,0.112723,0.112723,0.087715,10528000,0.000536,1.0,0.112723
164,1981-08-07,0.112723,0.113281,0.112723,0.112723,0.087715,9206400,0.000536,1.0,0.112723
165,1981-08-10,0.112723,0.112723,0.112723,0.112723,0.087715,0,0.000536,1.0,0.112723
166,1981-08-11,0.110491,0.110491,0.109375,0.109375,0.08511,71456000,0.000536,1.0,0.109375
